10:39:33 [INFO] Loading grid spec from data/param-grid-spec.json
10:39:33 [INFO] Grid spec loaded:
10:39:33 [INFO]   Candidates: 9
10:39:33 [INFO]   Cost mode entries: 18
10:39:33 [INFO]   Parameter combinations: 15625
10:39:33 [INFO]   Leverage levels: 1
10:39:33 [INFO]   Total runs: 281250
10:39:33 [INFO]   Parallelism: 8
10:39:35 [INFO] Grid: 281250 combinations
10:39:35 [INFO] Parallelism: 8 processes
10:39:35 [INFO] Output: data/param-search-results
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.88: 108 trades, 0.1s
10:39:41 [INFO] Progress: 89/281250 done (89 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.90: 108 trades, 0.1s
10:39:41 [INFO] Progress: 90/281250 done (90 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.89: 108 trades, 0.1s
10:39:41 [INFO] Progress: 91/281250 done (91 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.91: 108 trades, 0.1s
10:39:41 [INFO] Progress: 92/281250 done (92 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.93: 108 trades, 0.1s
10:39:41 [INFO] Progress: 93/281250 done (93 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.92: 108 trades, 0.1s
10:39:41 [INFO] Progress: 94/281250 done (94 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.95: 108 trades, 0.1s
10:39:41 [INFO] Progress: 95/281250 done (95 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.94: 108 trades, 0.1s
10:39:41 [INFO] Progress: 96/281250 done (96 ok, 0 failed)
